SRC:   213 2021-10-17 08:17:42.223 UWB CNT:  4, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101378 TMP: 6.9 TS: 951446427291 RSSI: -93 FPPL: -95 CSQ: 100
SRC:   208 2021-10-17 08:17:46.884 UWB CNT:  5, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101381 TMP: 6.9 TS: 159335563203 RSSI: -101 FPPL: -105 CSQ: 100
SRC:   225 2021-10-17 08:17:46.967 UWB CNT:  5, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101381 TMP: 6.9 TS: 159335558503 RSSI: -98 FPPL: -103 CSQ: 100
SRC:   212 2021-10-17 08:17:47.015 UWB CNT:  5, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101381 TMP: 6.9 TS: 159335557990 RSSI: -86 FPPL: -88 CSQ: 100
SRC:   226 2021-10-17 08:17:47.022 UWB CNT:  5, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101381 TMP: 6.9 TS: 159335561639 RSSI: -95 FPPL: -97 CSQ: 100
SRC:   213 2021-10-17 08:17:47.034 UWB CNT:  5, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101381 TMP: 6.9 TS: 159335560985 RSSI: -98 FPPL: -99 CSQ: 100
SRC:   225 2021-10-17 08:17:57.002 UWB CNT:  7, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101382 TMP: 7.2 TS: 800457664610 RSSI: -99 FPPL: -109 CSQ: 100
SRC:   218 2021-10-17 08:17:57.003 UWB CNT:  7, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101382 TMP: 7.2 TS: 800457670782 RSSI: -102 FPPL: -106 CSQ: 0
SRC:   212 2021-10-17 08:17:57.049 UWB CNT:  7, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101382 TMP: 7.2 TS: 800457663474 RSSI: -87 FPPL: -93 CSQ: 100
SRC:   226 2021-10-17 08:17:57.057 UWB CNT:  7, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101382 TMP: 7.2 TS: 800457667879 RSSI: -93 FPPL: -96 CSQ: 100
SRC:   213 2021-10-17 08:17:57.070 UWB CNT:  7, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101382 TMP: 7.2 TS: 800457667369 RSSI: -98 FPPL: -100 CSQ: 100
SRC:   225 2021-10-17 08:18:01.996 UWB CNT:  8, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101382 TMP: 7.2 TS: 20000074416 RSSI: -102 FPPL: -109 CSQ: 100
SRC:   212 2021-10-17 08:18:02.043 UWB CNT:  8, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101382 TMP: 7.2 TS: 20000073465 RSSI: -84 FPPL: -88 CSQ: 100
SRC:   226 2021-10-17 08:18:02.051 UWB CNT:  8, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101382 TMP: 7.2 TS: 20000077574 RSSI: -99 FPPL: -103 CSQ: 100
SRC:   213 2021-10-17 08:18:02.063 UWB CNT:  8, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101382 TMP: 7.2 TS: 20000077068 RSSI: -99 FPPL: -103 CSQ: 100
SRC:   218 2021-10-17 08:18:07.222 UWB CNT:  9, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101384 TMP: 7.2 TS: 354254305093 RSSI: -108 FPPL: -109 CSQ: 0
SRC:   205 2021-10-17 08:18:07.248 UWB CNT:  9, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101384 TMP: 7.2 TS: 354254303662 RSSI: -106 FPPL: -106 CSQ: 100
SRC:   212 2021-10-17 08:18:07.275 UWB CNT:  9, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101384 TMP: 7.2 TS: 354254298253 RSSI: -84 FPPL: -88 CSQ: 100
SRC:   226 2021-10-17 08:18:07.276 UWB CNT:  9, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101384 TMP: 7.2 TS: 354254302236 RSSI: -99 FPPL: -102 CSQ: 100
SRC:   225 2021-10-17 08:18:12.444 UWB CNT: 10, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101384 TMP: 7.2 TS: 687556934905 RSSI: -97 FPPL: -100 CSQ: 100
SRC:   218 2021-10-17 08:18:12.445 UWB CNT: 10, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101384 TMP: 7.2 TS: 687556935788 RSSI: -104 FPPL: -120 CSQ: 0
SRC:   224 2021-10-17 08:18:12.465 UWB CNT: 10, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101384 TMP: 7.2 TS: 687556937722 RSSI: -101 FPPL: -118 CSQ: 100
SRC:   212 2021-10-17 08:18:12.493 UWB CNT: 10, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101384 TMP: 7.2 TS: 687556935380 RSSI: -96 FPPL: -112 CSQ: 100
SRC:   226 2021-10-17 08:18:12.500 UWB CNT: 10, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101384 TMP: 7.2 TS: 687556938121 RSSI: -96 FPPL: -100 CSQ: 100
SRC:   213 2021-10-17 08:18:12.511 UWB CNT: 10, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101384 TMP: 7.2 TS: 687556937571 RSSI: -93 FPPL: -100 CSQ: 100
SRC:   225 2021-10-17 08:18:17.238 UWB CNT: 11, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101382 TMP: 7.2 TS: 993846548576 RSSI: -96 FPPL: -100 CSQ: 100
